athlete,country
Lars BERG,Sweden
John K. GALLIE,Great Britain
Marcel BONIN,France
Juan ROSTAGNO,Argentina
Stefano MARGOTTI,Italy
Peter V.L. MARCHANT,Great Britain
Godofredo BASSO ZERQUERA,Cuba
R. STEPHAN,France
Enrique Luis TEJEDA CANETE,Cuba
Kauko Olavi ELO,Finland
Odd SANNES,Norway
Frank Toadvine Jr. PARSONS,United States of America
Jean FOURNIER,France
Edouard ROULAND,France
John C.J. KNOTT,Great Britain
S. LESCEUX,France
Gilberto MARTINEZ FUENTES,Mexico
Bruce Ira HARLAN,United States of America
Lennart BRUNNHAGE,Sweden
George James ATHANS,Canada
Rolf STIGERSTRAND-MÖRCK,Norway
Zouheir SHOURBAGI,Syrian Arab Republic
Louis Walter George MARCHANT,Great Britain
Diego MARISCAL ABASCAL,Mexico
Haroldo MARIANO,Brazil
Wilhelm LIPPA,Austria
Gordon Frank WARD,Great Britain
Heikki Ilmari NIEMELÄINEN,Finland
Rauf ABOUL SEOUD,Egypt
Willy RIST,Switzerland
Ernst STRUPLER,Switzerland
Laszlo HIDVEGI,Hungary
Jose CASTILLO,Cuba
Vicki DRAVES,United States of America
Patricia Anne ELSENER,United States of America
Birte CHRISTOFFERSEN-HANSON,Denmark
Alma STAUDINGER,Austria
Eva PETERSEN,Sweden
Inge Moyel BEEKEN,Denmark
Lettice Margaret E. BISBROWN,Great Britain
Denise St.Aubyn NEWMAN,Great Britain
Maire A. HIDER,Great Britain
Inger NORDBÖ-KRAGH,Norway
Rosa GUTIERREZ DE PARDO,Mexico
Gudrun GRÖMER,Austria
Svante JOHANSSON,Sweden
Roger HEINKELE,France
Ismail Ahmed RAMZI,Egypt
David NORRIS,Australia
Edna Lilian CHILD,Great Britain
Jacoba Martina HECK,Netherlands
Jacoba Georgina B. FLOOR,Netherlands
Esme G. HARRIS,Great Britain
Kay Rebecca CUTHBERT,Great Britain
Richard Desborough BURNELL,Great Britain
Ebbe Vestermann PARSNER,Denmark
Aage Ernst LARSEN,Denmark
Eduardo G. RISSO,Uruguay
Romolo CATASTA,Italy
Josef KALT,Switzerland
Felice FANETTI,Italy
Bruno BONI,Italy
Karen HOFF,Denmark
Friederike SCHWINGL,Austria
Ruzena KOSTALOVA,Czechoslovakia
Anna VAN MARCKE,Belgium
Johan Frederik Kobberup ANDERSEN,Denmark
Henri EBERHART,France
Hans Martin GULBRANDSEN,Norway
Harry Mikael AKERFELT,Finland
Henry HARPER,Canada
Walter PIEMANN,Austria
Georges GANDIL,France
Douglas H. BENNETT,Canada
Karl MOLNAR,Austria
Viktor SALMHOFER,Austria
Hubert COOMANS,Belgium
Jean DUBOIS,Belgium
Hans BERGLUND,Sweden
Lennart KLINGSTRÖM,Sweden
Ejvind Willy HANSEN,Denmark
Jakob Bernhard Christian JENSEN,Denmark
Thor AXELSSON,Finland
Nils BJÖRKLÖF,Finland
Otto KROUTIL,Czechoslovakia
Milos PECH,Czechoslovakia
Robert BOUTIGNY,France
William Dodge Jr. HAVENS,United States of America
Horace HERRING,United States of America
Maximilian Baldwin SHACKLADY,Great Britain
Clifford G. BLACKBURN,Canada
Gharib AFIFI,Egypt
Edouard BOMBART,Belgium
Friedrich WIJNGAARD,Netherlands
Gunnar HANSEN,Norway
Miksa BONDI,Hungary
Pascual Nicolas PEREZ,Argentina
Spartaco BANDINELLI,Italy
Frank Joseph SODANO,United States of America
Alex BOLLAERT,Belgium
Antonius Henrich CORMAN,Netherlands
Luis MARTINEZ ZAPATA,Spain
Henry F. CARPENTER,Great Britain
Ingemar BURGSTRÖM,Sweden
Robert GAUSTERER,Austria
Joey SANDULO,Canada
Janusz KASPERCZAK,Poland
Olavi Harald LEHTINEN,Finland
Guillermo PORTEIRO,Uruguay
Rafael IGLESIAS,Argentina
Gunnar NILSSON,Sweden
Adam FAUL,Canada
Jack Leonard GARDNER,Great Britain
Uber BACCILIERI,Italy
Elbert Jay LAMBERT,United States of America
Karl AMEISBICHLER,Austria
Fernand BOTHY,Belgium
E. WALSH,Ireland
Alejandro ARTECHE ZURINAGA,Spain
Gerald DREYER,South Africa
Joseph VISSERS,Belgium
Svend WAD,Denmark
Wallace Bre SMITH,United States of America
Raul BENEDITO ZUMBANO,Brazil
Manuel SANCHEZ LOPEZ,Argentina
Tauno RINKINEN,Finland
Johannes Cornelis REMIE,Netherlands
Agustin ARGOTE MARQUINEZ,Spain
Mario MINATELLI,Italy
Alois PETRINA,Czechoslovakia
Luis Eduardo QUINTERO GUTIERREZ,Peru
Ernesto FORMENTI,Italy
Dennis SHEPHERD,South Africa
Eduard KERSCHBAUMER,Austria
Edward Roger JOHNSON,United States of America
Armand (Arthur?) SAVOIE,Canada
Felipe VERDU BELEN,Spain
Basilio ALVEZ,Uruguay
Mohamed AMMI,France
Edgar DELANNOIT,Belgium
Martti TAMMELIN,Finland
Attia Mohamed HAMOUDA,Egypt
Svend Aage SÖRENSEN,Denmark
Kaare GUNDERSEN,Norway
Luis MARMENTINI GIL,Argentina
George HUNTER,South Africa
Donald E. SCOTT,Great Britain
Mauro CIA,Argentina
Adrian HOLMES,Australia
Franciszek SZYMURA,Poland
Gyorgy KAPOCSI,Hungary
Erik JENSEN,Denmark
Otto MICHTITS,Austria
Ivano FONTANA,Italy
Auguste CAVIGNAC,Belgium
Johannes SCHUBART,Netherlands
Antoni KOLCZYNSKI,Poland
Washington JONES,United States of America
Martin HANSEN,Denmark
Valfrid A. RESCH,Finland
Tore KARLSSON,Sweden
Evert JOHANSEN,Norway
Miloslav PRIHODA,Czechoslovakia
Hermann SCHNEIDER,Switzerland
Tibor CSIK,Hungary
Gianbattista ZUDDAS,Italy
Juan E. VENEGAS,Puerto Rico
Babu LALL,India
Arnoldo PARÉS,Argentina
Edel OJEDA MALPICA,Mexico
Olavi OUVINEN,Finland
Louis CALLEBOUT,Belgium
Bertil AHLIN,Sweden
Thomas PROFFITT,Great Britain
Hermann MAZURKIEWICZ,Austria
Wawrzyniec BAZARNIK,Poland
Roger BEHM,Luxembourg
Erik THASTUM,Denmark
William BOSSIO,United States of America
Hans MOSER,Switzerland
Alois PODHAJSKY,Austria
Earl THOMSON,United States of America
Justo J. ITURRALDE,Argentina
Frank Sherman HENRY,United States of America
Maurice BURET,France
Humberto L. TERZANO,Argentina
Oscar GOULU,Argentina
Gabriel J. GRACIDA JARAMILLO,Mexico
William GRUT,Sweden
George Bissland MOORE,United States of America
Gösta GÄRDIN,Sweden
Helge Nestor Olavi LARKAS,Finland
Bruno RIEM,Switzerland
Richard Louis GRUENTHER,United States of America
Viktor PLATAN,Finland
Enrique WIRTH,Argentina
Frigyes HEGEDÜS,Hungary
Hale BAUGH,United States of America
Louis PICHON,France
Sune WEHLIN,Sweden
Roberto CURCIO,Italy
Albert C. MARTIN,Great Britain
Alberto MOREIRAS LOPEZ,Spain
Jose Luis RIERA CABALLER,Spain
Karel BARTU,Czechoslovakia
Jack Michael G. LUMSDEN,Great Britain
Manuel BERNABEU PRADA,Spain
Otto JEMELKA,Czechoslovakia
Louis FAUCONNIER,Belgium
Charles VYT,Belgium
Laszlo KARACSON,Hungary
Raoul MOLLET,Belgium
Muhlis TAYFUR,Turkey
Jean Baptiste BENOY,Belgium
Kaare LARSEN,Norway
Juho KINNUNEN,Finland
Anton VOGEL,Austria
Ernst KOLB,Switzerland
Klaas DE GROOT,Netherlands
Ibrahim ORABI,Egypt
Erling Stuer LAURIDSEN,Denmark
Peter ENZINGER,Austria
Karel ISTAZ,Belgium
Mustafa AVCIOGLU,Turkey
Albin DANNACHER,Switzerland
Kenan OLCAY,Turkey
Reino KANGASMÄKI,Finland
Malte MÖLLER,Sweden
Gyula SZILAGYI,Hungary
Adolphe LAMOT,Belgium
Celal ATIK,Turkey
Gösta FRÄNDFORS-JÖNSSON,Sweden
Hermann BAUMANN,Switzerland
William Henry KOLL,United States of America
Sulo LEPPÄNEN,Finland
Laszlo BAKOS,Hungary
Ali GHAFFARI,Islamic Republic of Iran
Israel SANCHES AVILA,Cuba
Banta SINGH,India
Jose Luis PEREZ VALENCIA,Mexico
Christian Henrik HANSEN,Denmark
Josef SCHMIDT,Austria
Björn COOK,Norway
Luigi RIGAMONTI,Italy
Julien DOBBELAERE,Belgium
Johan Frederik SCHOUTEN,Netherlands
Kemal MUNIR,Egypt
Gazanfer BILGE,Turkey
Ivar SJÖLIN,Sweden
Adolf MÜLLER,Switzerland
Paavo HIETALA,Finland
Ferenc TOTH,Hungary
Harold Linman MOORE,United States of America
Antoine RAYMACKERS,Belgium
Arnold S. PARSONS,Great Britain
Jose Maria LOPEZ ALVAREZ,Cuba
Marco GAVELLI,Italy
Kuk-Fan KIM,Republic of Korea
Mario S. CRETE,Canada
Delmiro BERNAL CONTRERAS,Mexico
Nazuh AKAR,Turkey
Gerald Grant LEEMAN,United States of America
Raymond CAZAUX,Great Britain
Erkki JOHANSSON,Finland
Fabio SANTAMARIA SOTOMAYOR,Cuba
Walter WENGER,Switzerland
Mehmet OKTAV,Turkey
Georg WEIDNER,Austria
Luisito CAMPANELLA,Italy
Egil Uno SOLSVIK,Norway
Hendrik DIJK,Netherlands
Raymond STRASSER,Luxembourg
Jan STEHLIK,Czechoslovakia
Ahmet KIREÇÇI,Turkey
Tor NILSSON,Sweden
Jozsef TARANYI,Hungary
Moritz INDERBITZIN,Switzerland
Glen BRAND,United States of America
Adil CANDEMIR,Turkey
Erik LINDEN,Sweden
Paul DÄTWYLER,Switzerland
Maurice VACHON,Canada
Gyula BOBIS,Hungary
Sadik ESEN,Turkey
Richard Heron Avis HUTTON,United States of America
Frederick OBERLANDER,Great Britain
Kurt PETERSEN,Sweden
Halil KAYA,Turkey
Taisto LEMPINEN,Finland
Elvidio FLAMINI,Argentina
Nikolaos BIRIS,Greece
Kurt ELIAS,Austria
Kolle Israel LEJSEROWITZ,Denmark
Francesco SUPPO,Italy
Lenni VIITALA,Finland
Halit BALAMIR,Turkey
Thure JOHANSSON,Sweden
William Shue JERNIGAN,United States of America
Fritz STÖCKLI,Switzerland
Fernand PAYETTE,Canada
Muharrem CANDAS,Turkey
Oscar VERONA,Italy
Pentti MELLAVUO,Finland
Yasar DOGU,Turkey
Leland Gilbert Jr. MERRILL,United States of America
Kalman SOVARI,Hungary
Frans WESTERGREN,Sweden
Harry F. PEACE,Canada
Willy ANGST,Switzerland
Eduardo ESTRADA OJEDA,Mexico
Louis Jean CULOT,Belgium
Karoly FERENCZ,Hungary
Charif DAMAGE,Lebanon
Johannes Hendricus MUNNIKES,Netherlands
Abraham KURLAND,Denmark
Giacomo GESINO,Italy
Frans ROMBAUT,Belgium
Vaclav TUHY,Czechoslovakia
Alfred Ambrosius JAUCH,Switzerland
Lajos MASZLAY,Hungary
John Emrys LLOYD,Great Britain
René BOUGNOL,France
Paul Louis Jean VALCKE,Belgium
Ivan Moritz RUBEN,Denmark
George Vitez WORTH,United States of America
Tibor Andrew NYILAS,United States of America
Antonio HARO OLIVA,Mexico
Maria Del Pilar CERRA,United States of America
Friederike (Fritzi) WENISCH-FILZ,Austria
Margit ELEK,Hungary
Velleda CESARI,Italy
Henri GUERIN,France
Jean-Marie RADOUX,Belgium
Henri LEPAGE,France
Carlo AGOSTONI,Italy
Emile GRETSCH,Luxembourg
Norman LEWIS,United States of America
Ronald PARFITT,Great Britain
Emiliano CAMARGO,Colombia
Eivind SKABO,Norway
Knud DITLEVSEN,Denmark
Jochem BOBELDIJK,Netherlands
Czeslaw SOBIERAJ,Poland
Alfred CORBIAUX,Belgium
Jan MATOCHA,Czechoslovakia
Herbert KLEPP,Austria
Emil BOTTLANG,Switzerland
Ernest RIEDEL,United States of America
Marcel LENTZ,Luxembourg
Janos TOLDI,Hungary
Gunnar AKERLUND,Sweden
Alfred KRISTENSEN,Denmark
Finn RASMUSSEN,Denmark
Gyula ANDRASI,Hungary
Hendrik Pieter STROO,Netherlands
Ludvik KLIMA,Czechoslovakia
Hilaire Walter DEPREZ,Belgium
Jozef MASSY,Belgium
Alfred UMGEHER,Austria
Alfons JEZEWSKI,Poland
Marian MATLOKA,Poland
Fritz FREY,Switzerland
Werner ZIMMERMANN,Switzerland
Raymond Gordon Jr. CLARK,United States of America
John Hunt Jr. EISEMAN,United States of America
Robert FONCK,Luxembourg
Jean NICKELS,Luxembourg
Norman Douglas LANE,Canada
Vaclav HAVEL,Czechoslovakia
Alfred J. KNIGHT,Great Britain
Hanafi MOUSTAFA,Egypt
Niels Christian PETERSEN,Denmark
Eduardo Alfonso PARERA ALONSO,Cuba
Hugo VALLARINO,Argentina
Franz EIBLER,Austria
Muhammad Naqi BUTT,Pakistan
Frank Isaac SPELLMAN,United States of America
Pierre BOULADOU,France
George William WATSON,Great Britain
Lennart NELSON,Sweden
Klement SCHUH,Austria
Harold Toshiyuki SAKATA,United States of America
Gösta MAGNUSSON,Sweden
Said Rasoul RAISSI,Islamic Republic of Iran
Raymond HERBAUX,France
Wilhelm PANKL,Austria
Fritz HALA (HALLER),Austria
Carlos BISIAK,Peru
Ibrahim Hassanein SHAMS,Egypt
John Basil TERPAK,United States of America
John STUART,Canada
Joseph Prescott PITMAN,United States of America
Jörgen Fryd PETERSEN,Denmark
Rene ALLEMAN,France
Giuseppe COLANTUONO,Italy
Theophile HUYGE,Belgium
Salvador LO PRESTI,Argentina
Asadollah Tehrani MAHINI,Islamic Republic of Iran
Hugo BANDA BERNAL,Mexico
Fernando LOURO SIERRA,Cuba
Mahmoud FAYAD,Egypt
Jafar Mohammad SALMASSI,Islamic Republic of Iran
Kotaro Emerick ISHIKAWA,United States of America
Richard Kiyoshi TOMITA,United States of America
Andre LE GUILLERM,France
Anton RICHTER,Austria
Denis W. HALLETT,Great Britain
Sydney KEMBLE,Great Britain
Richard RIEDER,Switzerland
Richard Watt Sung TOM,United States of America
Maurice CROW,New Zealand
Abdel Hamid YACOUT,Egypt
Ernö PORUBSZKY,Hungary
Einar SUNDSTRÖM,Finland
Win Maung MAUNG,Myanmar
Josef VOJTECH,Austria
Pentti KOTVIO,Finland
Ruben URIZA CASTRO,Mexico
Franklin Fearing Jr. WING,United States of America
Eric SÖRENSEN,Sweden
Henry Morison Vere NICOLL,Great Britain
Jose NAVARRO MORENES,Spain
Joao FRANCISCO PONTES,Brazil
Greger LEWENHAUPT,Sweden
Rafael C. CAMPOS,Argentina
Arthur CARR,Great Britain
Tauno Johannes RISSANEN,Finland
Nestor F. ALVARADO,Argentina
Torben TRYDE,Denmark
Jan Adrianus DE BRUINE,Netherlands
Jacobus RIJKS,Netherlands
Gerardo CONFORTI,Italy
Helder De Sousa MARTINS,Portugal
Karl-Ake HULTBERG,Sweden
Selim CAKIR,Turkey
Eyüp ÖNCÜ,Turkey
Andrew Allison FRIERSON,United States of America
Veikko HUHTANEN,Finland
Frank Joseph CUMISKEY,United States of America
Michael REUSCH,Switzerland
Aleksanteri SAARVALA,Finland
Emil STUDER,Switzerland
Walter LEHMANN,Switzerland
Ettore PEREGO,Italy
Lucien MASSET,France
Christian KIPFER,Switzerland
Robert LUCY,Switzerland
Einari Allan TERÄSVIRTA,Finland
Savino GUGLIELMETTI,Italy
Domenico GROSSO,Italy
Joseph KOTYS,United States of America
Karl FREI,Switzerland
Ferenc VARKOI,Hungary
Karl BOHUSCH,Austria
Laszlo BARANYAI,Hungary
Egidio ARMELLONI,Italy
Gustav HRUBY,Czechoslovakia
Raymond Stephen SORENSEN,United States of America
Konrad GRILEC,Yugoslavia
Sulo Artur SALMI,Finland
Alphonse ANGER,France
Gyözö MOGYOROSI,Hungary
Antoine SCHILDWEIN,France
Danilo FIORAVANTI,Italy
Frantisek WIRTH,Czechoslovakia
Pavel BENETKA,Czechoslovakia
Vladimir KARAS,Czechoslovakia
William Alfred BONSALL,United States of America
Drago JELIC,Yugoslavia
Vratislav PETRACEK,Czechoslovakia
Tage Elkana GRÖNNE,Denmark
Arnold Sigfred THOMSEN,Denmark
Robert PRANZ,Austria
Raimundo REY CARCANO,Cuba
Fernando LECUONA ASENCIO,Cuba
Vilhelm MÖLLER,Denmark
Georges WENGLER,Luxembourg
Gunner Ronnow OLESEN,Denmark
John Jack FLAHERTY,Great Britain
Moustafa ABDELAL,Egypt
Pierre WELFRING,Luxembourg
Roberto VILLACIAN ALEMANY,Cuba
Pierre SCHMITZ,Luxembourg
Jos BERNARD,Luxembourg
Gottfried HERMANN,Austria
Ruben LIRA AVILES,Mexico
Dario AGUILAR GONZALEZ,Mexico
Louis John BORDO,United States of America
Everardo RIOS PENA,Mexico
William M. Jr. SMITH,United States of America
György MITRO,Hungary
Alexandre JANY,France
Jack Irwin HALE,Great Britain
Severo Alfredo YANTORNO,Argentina
Taha Yussuf EL GAMAL,Egypt
Ramon BRAVO PRIETA,Mexico
Angel MALDONADO CAMPOS,Mexico
Walter Stephen RIS,United States of America
Alan Robert FORD,United States of America
Keith Eyre CARTER,United States of America
Per-Olof OLSSON,Sweden
Zoltan SZILARD,Hungary
Ann Elisabeth CURTIS,United States of America
Karen Margrethe HARUP,Denmark
Catherine GIBSON,Great Britain
Fernande CAROEN,Belgium
Brenda Merserau HELSER,United States of America
Piedade DE AZEVEDO COUTINHO,Brazil
Fritze Wulf CARSTENSEN,Denmark
Nancy Merki LEES,United States of America
Talita DE ALENCAR RODRIGUES,Brazil
Josette ARENE,France
Suzanne Winona ZIMMERMAN,United States of America
Judith Joy DAVIES,Australia
Dirkje VAN EKRIS,Netherlands
Muriel Jane MELLON,United States of America
Zsuzsa NADOR,Hungary
Robert Elmer COWELL,United States of America
Georges VALLEREY JR.,France
Mario CHAVEZ,Argentina
Clemente MEJIA AVILA,Mexico
William John BROCKWAY,Great Britain
Albert David KINNEAR,Great Britain
Helmut KOPPELSTATTER,Austria
Laszlo GYÖNGYÖSI,Hungary
Iftikhar Ahmed SHAH,Pakistan
Marie-Louise Jean LINSSEN-VAESSEN,Netherlands
Ingegärd FREDIN,Sweden
Elisabeth AHLGREN,Sweden
Petronella (Nel) VAN VLIET,Netherlands
Beatrice Nancy LYONS,Australia
Adriana Elisabeth DE GROOT,Netherlands
Elizabeth Mabel CHURCH,Great Britain
Antonia Johanna HOM,Netherlands
Forbes Holten Jr. NORRIS,United States of America
Donald BLAND,Great Britain
William W.Jr. HEUSNER,United States of America
Joseph Thomas VERDEUR,United States of America
Robert Raymond SOHL,United States of America
Antun (Tone) CERER,Yugoslavia
Willy Otto JORDAN,Brazil
Ahmed KANDIL,Egypt
Bob Herbert BONTE,Netherlands
Peter MINGIE,Canada
Ahmed Fouad NESSIM,Egypt
Laszlo JENEI,Hungary
Jaffar Ali SHAH,Pakistan
Bernard CHEVALLIER,France
Robert SELFELT,Sweden
Charles Howard ANDERSON,United States of America
Erik Ketil CARLSEN,Denmark
Fabio MANGILLI,Italy
Alfred BLASER,Switzerland
Kai Aage KRARUP,Denmark
Sigurd SVENSSON,Sweden
Peter Malise BORWICK,Great Britain
Adolf Erik EHRNROOTH,Finland
Raul CAMPERO,Mexico
Joaquin SOLANO CHAGOYA,Mexico
Adam Henrik TEN CATE,Netherlands
Fernando GAZAPO DE SARRAGA,Spain
Lyndon BOLTON,Great Britain
Santiago MARTINEZ LARRAZ,Spain
Pierre MUSY,Switzerland
Niels MIKKELSEN,Denmark
Antonio SERODIO,Portugal
Arvo Samuli HAANPÄÄ,Finland
Eugenio MONTEROSSO,Italy
Anisio ROCHA SILVA,Brazil
Heinrich SAUER,Austria
Ziya AZAK,Turkey
Eyup YIGITTÜRK,Turkey
Jose BEYAERT,France
Lode Alphonse WOUTERS,Belgium
Leon DELATHOUWER,Belgium
Nils JOHANSSON,Sweden
Robert John MAITLAND,Great Britain
Alfo FERRARI,Italy
Silvio PEDRONI,Italy
Alain MOINEAU,France
Eugene VAN ROSOSBROECK,Belgium
Jakob SCHENK,Switzerland
Rudolf VALENTA,Austria
Jean BRUN,Switzerland
Cyril Ian SCOTT,Great Britain
Harry SNELL,Sweden
Franco FANTI,Italy
Livio ISOTTI,Italy
Ake OLIVESTEDT,Sweden
Walter REISER,Switzerland
Kristian Rudolf PEDERSEN,Denmark
Knud Erik ANDERSEN,Denmark
Mario MATHIEU,Argentina
Hans GOLDSCHMID,Austria
Siegmund HUBER,Austria
Josef POHNETAL,Austria
Lievin LERNO,Belgium
Florent JODOIN,Canada
Lance PUGH,Canada
Laurent TESSIER,Canada
Rafael ITURRATE,Chile
Borge Saxil NIELSEN,Denmark
Rudolf Johannes RASMUSSEN,Denmark
Thorwald Adi Wilhelm HOGSTRÖM,Finland
Erkki Olavi KOSKINEN,Finland
Rene ROUFFETEAU,France
Manthos KALOUDIS,Greece
Hendrikus Jacobus FAANHOF,Netherlands
Everardus GRIFT,Netherlands
Pieter PETERS,Netherlands
San-Ung HWANG,Republic of Korea
Robert BINTZ,Luxembourg
Marcel ERNZER,Luxembourg
Pitty SCHEER,Luxembourg
Placido HERRERA BRIONES,Mexico
Leif FLENGSRUD,Norway
Aage MYHRVOLD,Norway
Luis POGGI,Peru
Olle VANLUND,Sweden
Giovanni ROSSI,Switzerland
Ali ÇETINER,Turkey
Orhan SUDA,Turkey
Talat TUNCALP,Turkey
Edward Arnold LYNCH,United States of America
Alfred Chester Jr. NELSEN,United States of America
Wendell L. ROLLINS,United States of America
Milan POREDSKI,Yugoslavia
August PROSENIK,Yugoslavia
Aleksandar ZORIC,Yugoslavia
Alice Marie COACHMAN,United States of America
Micheline OSTERMEYER,France
Vinton BECKETT,Jamaica
Doreen M. DREDGE,Canada
Bertha CROWTHER,Great Britain
Ilse STEINEGGER,Austria
Dora Kathleen GARDNER,Great Britain
Annemarie Rönnov IVERSEN,Denmark
Simone RUAS-PEIRONE,France
Cynthia Bernice ROBINSON,United States of America
Anne-Marie COLCHEN,France
Emma REED,United States of America
Catherine BOURKEL,Luxembourg
Elisabeth Clara MÜLLER,Brazil
Dorothy Gladys MANLEY,Great Britain
Patricia JONES,Canada
Cynthia THOMPSON,Jamaica
Elfriede STEURER,Austria
Liliane SPRECHER,France
Marcel HANSENNE,France
Herbert Otto BARTEN,United States of America
Robert David CHAMBERS,United States of America
Harold John PARLETT,Great Britain
Niels HOLST-SÖRENSEN,Denmark
David Benjamin BOLEN,United States of America
George James GUIDA,United States of America
Audrey Doreen Swayne WILLIAMSON,Great Britain
Audrey Mickey PATTERSON,United States of America
Margaret WALKER,Great Britain
Grete JENNY,Austria
William Samuel STEELE,United States of America
Thomas Theodore BRUCE,Australia
Herbert Paul Jr. DOUGLAS,United States of America
Lorenzo Christopher WRIGHT,United States of America
Prince Adegboyega ADEDOYIN,Great Britain
Felix WÜRTH,Austria
Henry Edward ASKEW,Great Britain
Enrique KISTENMACHER,Argentina
Edward ADAMCZYK,Poland
George Gordon AVERY,Australia
Peter MULLINS,Australia
Lionel Joseph FOURNIER,Canada
Rene VALMY,France
Ingemar JOHANSSON,Sweden
Charles James MORRIS,Great Britain
Harold George CHURCHER,Great Britain
Richard A. WEST,Great Britain
Tore SJÖSTRAND,Sweden
Göte HAGSTRÖM,Sweden
Alexandre GUYODO,France
Pentti SILTALOPPI,Finland
Petar SEGEDIN,Yugoslavia
Harris Browning ROSS,United States of America
Constantino MIRANDA JUSTO,Spain
Robert EVERAERT,Belgium
Aarne KAINLAURI,Finland
Laszlo JESZENSZKI,Hungary
Jenö SZILAGYI,Hungary
Harold Norwood EWELL,United States of America
Lloyd LABEACH,Panama
Alastair MCCORQUODALE,Great Britain
Melvin Emery PATTON,United States of America
Joseph STEPHAN,France
Tomas PAQUETE,Portugal
Dennis Victor SHORE,South Africa
Duncan WHITE,Sri Lanka
Robert Howard BENNETT,United States of America
Bo ERICSSON,Sweden
Einar SÖDERQVIST,Sweden
Henry Francis DREYER,United States of America
Svend Aage FREDERIKSEN,Denmark
Johan Frederik Marie HOUTZAGER,Netherlands
Henry ERIKSSON,Sweden
Lennart STRAND,Sweden
Vaclav CEVONA,Czechoslovakia
Gösta BERGKVIST,Sweden
George William NANKEVILLE,Great Britain
Sandor GARAI,Hungary
Erik Arne JÖRGENSEN,Denmark
Adan Mario TORRES,Argentina
Raymond ROSIER,Belgium
Hans A. STREULI,Switzerland
William Franklin III PORTER,United States of America
Clyde SCOTT,United States of America
Craig DIXON,United States of America
Alberto Ubaldo TRIULZI,Argentina
Peter John GARDNER,Australia
Hakan LIDMAN,Sweden
Santiago FERRANDO DIETZ,Peru
Maureen Angela Jane GARDNER,Great Britain
Yvette MONGINOU,France
Maria OBERBREYER-TRÖSCH,Austria
Libuse LOMSKA-GEISLEROVA,Czechoslovakia
Roy Braxton COCHRAN,United States of America
Rune LARSSON,Sweden
Richard Francis AULT,United States of America
Yves CROS,France
Ottavio MISSONI,Italy
Bernabe O. LOVINA,Philippines
Julio SABATER,Puerto Rico
Amelia PICCININI,Italy
Ine SCHÄFFER-MAYER,Austria
Anni BRUK,Austria
Bevis Anael REID,Great Britain
Paulette LAURENT,France
Marianne SCHLÄGER,Austria
Julija MATEJ,Yugoslavia
Erik AHLDEN,Sweden
Väinö MÄKELA,Finland
Helge PERÄLÄ,Finland
Ricardo R. BRALO,Argentina
Ivar RAMSTAD,Norway
Stein Jean JOHNSON,Norway
Arvo Armas HUUTONIEMI,Finland
Uno FRANSSON,Sweden
Hermann TUNNER,Austria
Eduardo JULVE CIRIACO,Peru
Dorothy Lucille DODSON,United States of America
Johanna Elisabeth TEUNISSEN-WAALBOER,Netherlands
Johanna KONING,Netherlands
Elly DAMMERS,Netherlands
Gerda SCHILLING-STANIEK,Austria
Melania SINORACKA,Poland
Theresa Altaneze MANUEL,United States of America
Nicolle Adrienne SAEYS,Belgium
Marian Katherine LONG,Great Britain
Gladys M. CLARKE,Great Britain
Jacqueline MAZEAS,France
Jadwiga WAJSOURNA,Poland
Majken ABERG,Sweden
Frances Theresa KASZUBSKI,United States of America
Gudrun ARENANDER,Sweden
Petronella Geraldina ROOS-LODDER,Netherlands
Margaret J. BIRTWISTLE,Great Britain
Elspeth A. WHYTE,Great Britain
Clifford Frederick BOURLAND,United States of America
Alberto C. BIEDERMANN,Argentina
John BARTRAM,Australia
Ferenc TIMA,Hungary
Thomas John Henry RICHARDS,Great Britain
Etienne GAILLY,Belgium
Johannes Lodewyk COLEMAN,South Africa
Eusebio C. GUINEZ,Argentina
Alberto SENSINI,Argentina
Henning Karl LARSEN,Denmark
Viljo HEINO,Finland
Anders MELIN,Sweden
Theodore John VOGEL,United States of America
Lloyd EVANS,Canada
Gerard COTE,Canada
Jozsef KISS,Hungary
John Adelbert KELLEY,United States of America
Kaspar SCHIESSER,Switzerland
Walter A. FEDORICK,Canada
Aulis Olavi MANNINEN,United States of America
Yun-Bok SU,Republic of Korea
Sven HAKANSSON,Sweden
Jakob JUTZ,Switzerland
Stanley F. JONES,Great Britain
Arsene PIESSET,France
John Thomas HOLDEN,Great Britain
Rene JOSSET,France
Salvatore CONSTANTINO,Italy
Pierre COUSIN,France
Istvan SIMON,Hungary
Erik P. ANDERSSON,Sweden
Per ERIKSSON,Sweden
Igving MONDSCHEIN,United States of America
Godtfred HOLMVANG,Norway
Örn CLAUSEN,Iceland
Yrjö MÄKELÄ,Finland
Paul SPRECHER,France
Waclaw KUZMICKI,Poland
Hannes SONCK,Finland
Davorin MARCELJA,Yugoslavia
Witold GERUTTO,Poland
Hercules ASCUNE,Uruguay
Jacques CRETAINE,France
Fritz NUSSBAUM,Switzerland
Mario RECORDON BURNIER,Chile
Albert DAYER,Belgium
Oskar GERBER,Switzerland
Sayed Ezz El Din MOUKHTAR,Egypt
Josef SEGER,Liechtenstein
René KREMER,Luxembourg
Gebhard BÜCHEL,Liechtenstein
Armin SCHEURER,Switzerland
Severt DENNOLF,Sweden
Abdallah BEN SAID,France
Salomon KÖNÖNEN,Finland
Josef LATASTER,Netherlands
