athlete,country
Patrick BURGENER,Switzerland
Xiaobing FAN,China
Andre HOEFLICH,Germany
Cool WAKUSHIMA,New Zealand
Annamari DANCHA,Ukraine
Ester LEDECKA,Czech Republic
Melanie HOCHREITER,Germany
Weronika BIELA,Poland
Daniela ULBING,Austria
Polina SMOLENTSOVA,ROC
Haerim JEONG,Republic of Korea
Naiying GONG,China
Gloria KOTNIK,Slovenia
Tomoka TAKEUCHI,Japan
Julie ZOGG,Switzerland
Lucia DALMASSO,Italy
Sofia NADYRSHINA,ROC
Ladina JENNY,Switzerland
Michelle DEKKER,Netherlands
Aleksandra MICHALIK,Poland
Natalia SOBOLEVA,ROC
Kaylie BUCK,Canada
Jennifer HAWKRIGG,Canada
Jessica KEISER,Switzerland
Carolin LANGENHORST,Germany
Aleksandra KROL,Poland
Tsubaki MIKI,Japan
Megan FARRELL,Canada
Milena BYKOVA,ROC
Patrizia KUMMER,Switzerland
Ramona Theresia HOFMEISTER,Germany
Zuzana MADEROVA,Czech Republic
Julia DUJMOVITS,Austria
Ruxin ZANG,China
Nadya OCHNER,Italy
Manuel FETTNER,Austria
Ryoyu KOBAYASHI,Japan
Antti AALTO,Finland
Killian PEIER,Switzerland
Markus EISENBICHLER,Germany
Mackenzie BOYD-CLOWES,Canada
Timi ZAJC,Slovenia
Junshiro KOBAYASHI,Japan
Constantin SCHMID,Germany
Danil VASSILYEV,Kazakhstan
Cestmir KOZISEK,Czech Republic
Karl GEIGER,Germany
Peter PREVC,Slovenia
Robert JOHANSSON,Norway
Yevhen MARUSIAK,Ukraine
Halvor Egner GRANERUD,Norway
Marius LINDVIK,Norway
Pawel WASEK,Poland
Radek RYDL,Czech Republic
Roman KOUDELKA,Czech Republic
Vitaliy KALINICHENKO,Ukraine
Stefan KRAFT,Austria
Daniel-Andre TANDE,Norway
Dominik PETER,Switzerland
Decker DEAN,United States of America
Qiwu SONG,China
Dawid KUBACKI,Poland
Piotr ZYLA,Poland
Naoki NAKAMURA,Japan
Gregor DESCHWANDEN,Switzerland
Filip SAKALA,Czech Republic
Vladimir ZOGRAFSKI,Bulgaria
Anton KORCHUK,Ukraine
Yukiya SATO,Japan
Artti AIGRO,Estonia
Danil SADREEV,ROC
Pius PASCHKE,Germany
Sergey TKACHENKO,Kazakhstan
Kevin BICKNER,United States of America
Matthew SOUKUP,Canada
Jan HOERL,Austria
Casey LARSON,United States of America
Andrei FELDOREAN,Romania
Mikhail NAZAROV,ROC
Cene PREVC,Slovenia
Roman-Sergeevich TROFIMOV,ROC
